nimi;voimassaolon_alkamispaiva
Tuntee syömishäiriöiden eri muodot;2022-06-06
Tunnistaa autismikirjon häiriöihin viittaavan käytöksen;2022-06-06
Osaa keskustella lasten ja nuorten ja heidän vanhempiensa kanssa;2022-06-06
Osaa arvioida lapsen ja nuoren psykososiaalista tilaa keskustelun ja haastattelun perusteella;2022-06-06
Tunnistaa käyttäytymisen oireet ja ongelmat, jotka vaativat jatkoselvittelyjä;2022-06-06
Tunnistaa itsemurhariskissä olevan lapsen tai nuoren ja osaa ohjata oikea-aikaiseen hoitoon;2022-06-06
Tunnistaa syömishäiriöpotilaan ja osaa ohjata jatkohoitoon;2022-06-06
Osoittaa aitoa kiinnostusta potilaan ongelmiin;2022-06-06
Varaa riittävästi aikaa psykososiaalisen tilanteen selvittelyyn;2022-06-06
Tietää perusasiat liikuntavammoista ja liikuntaan/urheiluun liittyvien riskitekijöiden ennaltaehkäisystä, minimoinnista ja hoidosta;2022-06-06
Osaa tukea ja kehittää lapsen ja nuoren terveitä elämäntapoja kannustamalla liikunnalliseen aktiivisuuteen;2022-06-06
Tunnistaa aktiiviurheilijan jatkuvaan voimakkaaseen fyysiseen ja henkiseen kuormitukseen liittyvät oireet ja/tai vammat ja osaa pohtia erotusdiagnostiikkaa yhteistyössä esim. ortopedin, reumatologin ja psykologin kanssa;2022-06-06
Tuntee yleisimmät virtsateiden ja genitaalien rakennepoikkeavuudet, niiden diagnostiikan ja merkityksen;2022-06-06
Osaa nestetasapainon säätelyn fysiologian;2022-06-06
Tuntee munuaisten toimintakokeet;2022-06-06
Tuntee virtsanäytteen ottamisen erityispiirteet eri ikäkausina;2022-06-06
Osaa korkean verenpaineen diagnostiikan ja tutkimukset;2022-06-06
Tuntee glomeruluksen sairaudet;2022-06-06
Tuntee tubuluksen ja tubulointerstitiaalikudoksen sairaudet;2022-06-06
Osaa munuaisten rakkulatautien diagnostiikan, hoidon ja seurannan;2022-06-06
Tietää hematurian määritelmän ja erilaiset syyt;2022-06-06
Tietää proteinurian määritelmän ja erilaiset syyt;2022-06-06
Tietää glomerulonefriitin erilaiset syyt;2022-06-06
Osaa nefroosin ja nefriittien diagnostiikan sekä akuutin hoidon;2022-06-06
Osaa akuutin ja kroonisen munuaisen vajaatoiminnan diagnostiikan ja hoitoperiaatteet;2022-06-06
Tuntee dialyysin toteuttamisen yleisperiaatteet;2022-06-06
Osaa IgA-vaskuliitin diagnostiikan, hoidon ja seurannan;2022-06-06
Tunnistaa hemolyyttis-ureemisen syndrooman oireet ja löydökset ja osaa aloittaa akuutin hoidon;2022-06-06
Tietää myrkytysten yleisimmät munuaisvaikutukset;2022-06-06
Tietää munuaissiirron aiheet, jälkihoidon periaatteet sekä ongelmat;2022-06-06
Osaa kastelun erotusdiagnostiikan, tutkimukset ja hoitoperiaatteet;2022-06-06
Osaa arvioida nestetasapainoa kliinisesti;2022-06-06
Osaa tehdä rakkopunktion;2022-06-06
Osaa katetroida virtsarakon;2022-06-06
Osaa tulkita virtsatutkimusten tulokset;2022-06-06
Osaa mitata verenpaineen, tietää mittaukseen liittyvät haasteet ja virhelähteet ja osaa etsiä verenpaineen viitearvot;2022-06-06
Osaa selittää perheelle virtsateiden rakennetta, virtsalöydöstä ja munuaisten toimintakokeita koskevat tulokset ja niiden merkityksen;2022-06-06
Ymmärtää kasteluoireeseen liittyvät monitahoiset fyysiset, sosiaaliset ja psykologiset vaikutukset ja osaa tehdä hoitosuunnitelman yhdessä lapsen/nuoren ja hänen perheensä kanssa;2022-06-06
Ymmärtää munuaisperäisten sairauksien merkityksen lapsen kasvuun ja kehitykseen ja kokonaisvaltaiseen hyvinvointiin;2022-06-06
Ymmärtää munuaissiirtopotilaan hoitoon liittyvät erityispiirteet;2022-06-06
Tietää tavallisimpien raskaudenaikaisten ongelmien vaikutukset vastasyntyneeseen, osaa ohjelmoida niiden vaatiman seurannan ja jatkotutkimukset;2022-06-06
Osaa hoitaa vastasyntyneen vierihoidossa ilmaantuvat ongelmat;2022-06-06
Hallitsee vastasyntyneen hengitysongelmien tavallisimmat syyt, erotusdiagnostiikan ja hoidon;2022-06-06
Osaa suunnitella ja toteuttaa tarvittavat tutkimukset ja toimenpiteet epäiltäessä vastasyntyneen kriittistä sydänvikaa;2022-06-06
Tunnistaa hypoksis-iskeemisen enkefalopatian (HIE), osaa arvioida viilennyshoidon tarpeen ja aloittaa hoidon;2022-06-06
Tietää vastasyntyneiden kohtausoireiden syyt, erotusdiagnostiikan ja alkuhoidon;2022-06-06
Osaa tunnistaa ja hoitaa vastasyntyneen kipua;2022-06-06
Osaa diagnosoida ja hoitaa vastasyntyneen infektiot;2022-06-06
Tunnistaa ja osaa hoitaa vastasyntyneen vieroitusoireita;2022-06-06
Tietää vastasyntyneen enteraalisen ja parenteraalisen ravitsemuksen perusteet ja osaa suunnitella nestehoidon;2022-06-06
Tietää imetyksen fysiologian sekä imetyksen ja rintamaidon merkityksen vastasyntyneelle;2022-06-06
Tunnistaa alle 32. raskausviikolla syntyneiden pienten keskosten tavallisimmat diagnoosit ja hahmottaa niistä toipumisen kaaren;2022-06-06
Tietää vastasyntyneen turvallisen kotiuttamisen perusteet ja osaa suunnitella tarvittavat seurannat;2022-06-06
Tietää keskosen merkittävimmät pitkäaikaissairaudet, niiden hoidon ja seurannan;2022-06-06
Osaa tutkia vastasyntyneen neurologinen status mukaan lukien;2022-06-06
Perehtyy vastasyntyneiden yleisten hätätilanteiden hoitoon simulaation avulla;2022-06-06
Osaa vastasyntyneen ilmatien hallinnan (maskiventilaatio, larynxmaski, intubaatio);2022-06-06
Osaa hengitystukilaitteiden käytön (HFNC, CPAP, SiPAP, konventionaalinen hengityskonehoito);2022-06-06
Osaa annostella surfaktantin;2022-06-06
Osaa asettaa napalaskimokatetrin;2022-06-06
Osaa asettaa perifeerisen valtimokanyylin;2022-06-06
Osaa poissulkea ilmarinnan ja tehdä pleurapunktion;2022-06-06
Osallistuu typpioksidihoidon toteutukseen;2022-06-06
Osallistuu korkeataajuusrespiraattorihoidon toteutukseen;2022-06-06
Osaa asettaa pleuradreenin;2022-06-06
Osaa käyttää aEEG-laitetta ja tulkita aivosähkökäyrää;2022-06-06
Osaa asettaa napavaltimokatetrin;2022-06-06
Osaa asettaa perifeerisen keskuslaskimokatetrin;2022-06-06
Hallitsee intraosseaalineulan käytön;2022-06-06
Osaa tehdä aivojen UÄ-tutkimuksen;2022-06-06
Osaa tehdä neonatologisen sydämen UÄ-tutkimuksen;2022-06-06
Osallistuu vastasyntyneen siirtokuljetukseen;2022-06-06
Ymmärtää perhekeskeisen ja vauvamyönteisen hoidon tärkeyden sekä sairailla että terveillä vastasyntyneillä ja osaa ottaa sen huomioon alkuhoidosta kotiutumiseen asti;2022-06-06
Tietää perusasiat elimistön nestetiloista, nesteiden koostumuksesta ja näiden häiriöistä;2022-06-06
Ymmärtää neste-, elektrolyytti- ja osmolaliteettitasapainon säätelymekanismit;2022-06-06
Tietää sairauksien ja hoitojen vaikutuksista nestetasapainoon;2022-06-06
Osaa arvioida potilaan kuivuman kliinisesti;2022-06-06
Osaa ohjeistaa nesteytyksen kuivuman, ylläpidon ja korvausten osalta sekä enteraalisesti että parenteraalisesti;2022-06-06
Osaa korjata tavallisimmat elektrolyytti- ja osmolaliteettihäiriöt;2022-06-06
Osaa tulkita laboratoriovastauksia nestetasapainon osalta;2022-06-06
Osaa kanyloida ja tietää milloin tarvitaan intraosseaalineulaa;2022-06-06
Osaa ottaa huomioon nestetasapainon eri sairauksien hoidossa;2022-06-06
Toimii potilaan edun mukaisesti nestetasapainon häiriötä korjatessaan;2022-06-06
Käyttää ensisijaisesti enteraalista nesteytystä;2022-06-06
Tuntee pre-, peri- ja postnataalisten hankittujen ja perinnöllisten lastenneurologiset tilojen diagnostiikan, ehkäisyn ja hoidon periaatteet;2022-06-06
Tuntee päänsäryn diagnostiikan, ehkäisyn ja hoidon periaatteet;2022-06-06
Tuntee kohtausoireiden diagnostiikan, ehkäisyn ja hoidon periaatteet;2022-06-06
Tuntee tajunnanhäiriöiden diagnostiikan, ehkäisyn ja hoidon periaatteet;2022-06-06
Tuntee hermoston normaalin ja poikkeavan kehityksen, toiminnan ja rakenteet;2022-06-06
Tuntee kehityksen eri osa-alueet ja niiden tyypilliset poikkeamat (karkea/hienomotoriikka, puhe/ kommunikaatio, vuorovaikutus/kognitio);2022-06-06
Tuntee lastenneurologisten palvelujen, etenkin kuntoutuksen suunnittelun ja periaatteet sekä hoidon porrastuksen, saatavuuden ja työnjaon;2022-06-06
Osaa perhekeskeisen moniammatillisen yhteistyön;2022-06-06
Osaa kohdata lapsen ja perheen vaikean vammautumisen ja/tai kuolemaan johtavien sairauksien hoidossa;2022-06-06
Osaa tutkia lapsen neurologiaa eri ikäkausina;2022-06-06
Osaa ottaa aivo-selkäydinnestenäytteen;2022-06-06
Osaa kouristuksen ensihoidon;2022-06-06
Osaa tehdä yhteistyötä lapsen/nuoren, perheen, moniammatillisen työryhmän, muiden erikoisalojen ja terveydenhuollon palvelujärjestelmän eri toimijoiden kanssa;2022-06-06
Tuntee HEADSS-haastattelutekniikan hyödyt nuoren kohtaamisessa vastaanotolla;2022-06-06
Tuntee puberteettikehityksen, nuoruusiän normaalin somaattisen, psyykkisen ja sosiaalisen kehityksen ja tunnistaa hoitoa vaativat poikkeamat;2022-06-06
On perehtynyt seksuaalisuuden kehitykseen ja nuorten seksuaaliterveyteen;2022-06-06
Tuntee syömishäiriöiden hoidon periaatteet;2022-06-06
On perehtynyt nuorten tyypillisiin mielenterveyden häiriöihin ja kykenee tunnistamaan ne;2022-06-06
Tuntee psykosomaattisten oireiden tutkimusten ja hoidon periaatteet;2022-06-06
On perehtynyt kroonisten somaattisten ja neuropsykiatristen sairauksien tyypilliseen kulkuun nuoruusiän aikana, tuntee transitiovaiheen käsitteen ja hoitosuositukset;2022-06-06
Tuntee nuorisokulttuuria ja tunnistaa nuoren kulttuuritaustan merkityksen;2022-06-06
Tuntee maamme koulutusjärjestelmän;2022-06-06
On perehtynyt opiskelukyvyn käsitteeseen ja ymmärtää opiskelukykyyn vaikuttavia tekijöitä;2022-06-06
Tuntee pääpiirteet nuorten päihteiden (ml. tupakka) kokeilu- ja käyttötavoista, päihteiden käytön riskeistä ja päihdevieroituksesta;2022-06-06
Tuntee alan lainsäädännön;2022-06-06
Osaa hyödyntää HEADSS-haastattelutekniikkaa vastaanotolla;2022-06-06
Kykenee kommunikoimaan nuoren, hänen perheensä ja verkostonsa kanssa;2022-06-06
Kykenee moniammatilliseen ja monitieteelliseen yhteistyöhön;2022-06-06
Osaa tukea aikuistumista ja nuorten omahoitoa;2022-06-06
Kunnioittaa nuorta;2022-06-06
Kuuntelee nuorta;2022-06-06
Kannustaa nuorta;2022-06-06
Ymmärtää nuoruusiän mukanaan tuomien suurten muutosten merkityksen nuoren elämälle;2022-06-06
Ymmärtää näytön asteet;2022-06-06
Tuntee tutkimusasetelmat artikkelien arvioinnissa;2022-06-06
Tuntee otoskoon arvioinnin ja sen merkityksen artikkelien arvioinnissa;2022-06-06
Tuntee satunnaistamisen ja sokkouttamisen artikkelien arvioinnissa;2022-06-06
Tuntee tavallisimmat tilastotieteelliset menetelmät ja luottamusvälit artikkelien arvioinnissa;2022-06-06
Tuntee meta-analyysien tulkinnan artikkelien arvioinnissa;2022-06-06
Tuntee diagnostisten testien tunnusluvut artikkelien arvioinnissa;2022-06-06
Tuntee tutkimustuloksen kliinisen merkityksen arvioimisen;2022-06-06
Tuntee omiin potilaisiin yleistettävyyden arvioimisen;2022-06-06
Osaa muotoilla potilaan ongelmasta vastattavissa olevan kysymyksen ja hakea kirjallisuudesta tietoa;2022-06-06
Tuntee säännölliseen kirjallisuuden seuraamiseen liittyviä apuvälineitä ja osaa käyttää vähintään yhtä;2022-06-06
Pystyy toimimaan asiantuntijana tekemällä kriittisiä päätelmiä potilaan hoitoon liittyvästä tieteellisestä näytöstä;2022-06-06
Ymmärtää elinikäisen oppimisen merkityksen;2022-06-06
Ymmärtää näyttöön perustuvan lääketieteen periaatteet ja haasteet;2022-06-06
Tuntee perustiedot tuki- ja liikuntaelinten anatomiasta ja fysiologiasta ja kasvusta;2022-06-06
Tuntee perustiedot systeemisairauksien luu- ja nivelmanifestaatioista;2022-06-06
Osaa niveloireisen lapsen nivelien kliinisen tutkimisen;2022-06-06
Osaa niveloireisen lapsen jatkotutkimusten ajoituksen;2022-06-06
Osaa valita sopivan kuvantamistutkimuksen;2022-06-06
Tunnistaa skolioosin;2022-06-06
Tunnistaa tavallisimmat murtumat erotusdiagnostisena vaihtoehtona;2022-06-06
Osaa tutkia vastasyntyneen lonkat ja tunnistaa lonkkaluksaation;2022-06-06
Havaitsee jalkaterän virheasennot;2022-06-06
Ymmärtää sokin, hengitysvajauksen ja sydämen vajaatoiminnan patofysiologian;2022-06-06
Tietää päivystyksessä ja osastolla tehtävän invasiivisen ja non-invasiivisen monitoroinnin indikaatiot ja osaa tulkita tuloksia;2022-06-06
Osaa aloittaa nestehoidon akuutisti sairaalle lapselle;2022-06-06
Osaa järjestää potilassiirron sairaalan sisällä ja sairaaloiden välillä;2022-06-06
Osaa toimia viranomaisten kanssa lastensuojelullisissa asioissa;2022-06-06
Osaa tehdä triagen;2022-06-06
Osaa huomioida erityislapset (kehitysviive, vaikea perussairaus) päivystystilanteissa;2022-06-06
Osaa auttaa kirurgia ja muita toisen alan spesialisteja pediatrisissa asioissa (esim. antibiootin valinta ja nestehoito);2022-06-06
Osaa toimia elvytyksessä;2022-06-06
Osaa toimia anafylaktisen reaktion hoidoossa;2022-06-06
Osaa toimia hukuksiin joutuneen hoidossa;2022-06-06
Osaa toimia hypotermiapotilaan hoidossa;2022-06-06
Osaa toimia paineen alla ja hoitaa useita asioita samanaikaisesti;2022-06-06
Hallitsee työnsä ja osaa ohjata sitä;2022-06-06
Kykenee moniammatilliseen yhteistyöhön;2022-06-06
Osaa toimia tiimin johtajana;2022-06-06
Kykenee neuvottelevaan vuorovaikutukseen;2022-06-06
Pyrkii toimimaan lapsen parhaaksi;2022-06-06
Toimii potilaslähtöisesti;2022-06-06
Suhtautuu kunnioittavasti ja arvostavasti työtovereihinsa;2022-06-06
Tuntee imeväisten, lasten ja nuorten ravitsemussuositukset;2022-06-06
Tuntee ravitsemuksen merkityksen lasten kasvulle ja kehitykselle;2022-06-06
Tuntee lapsuusiän ravitsemuksen vaikutuksen aikuisiän terveyteen;2022-06-06
Tuntee ravitsemushoidon tehostamisen moniammatillisena yhteistyönä diabeteksessa;2022-06-06
Tuntee ravitsemushoidon tehostamisen moniammatillisena yhteistyönä keskosuudessa;2022-06-06
Tuntee ravitsemushoidon tehostamisen moniammatillisena yhteistyönä kroonisessa munuaisten vajaatoiminnassa;2022-06-06
Tuntee ravitsemushoidon tehostamisen moniammatillisena yhteistyönä kystisessä fibroosissa;2022-06-06
Tuntee ravitsemushoidon tehostamisen moniammatillisena yhteistyönä ruoka-aineallergioissa;2022-06-06
Tuntee ravitsemushoidon tehostamisen moniammatillisena yhteistyönä  ruoansulatuskanavan sairauksissa;2022-06-06
Tuntee ravitsemushoidon tehostamisen moniammatillisena yhteistyönä synnynnäisissä aineenvaihduntasairauksissa;2022-06-06
Tuntee ravitsemushoidon tehostamisen moniammatillisena yhteistyönä syömishäiriöissä;2022-06-06
Tuntee ravitsemushoidon tehostamisen moniammatillisena yhteistyönä syöpätaudeissa;2022-06-06
Osaa toimia moniammatillisessa yhteistyössä konsultoiden muiden alojen edustajia;2022-06-06
Osaa hyödyntää ravitsemusterapeutin asiantuntemuksen oikea-aikaisesti;2022-06-06
Osaa tunnistaa vajaaravitsemusriskin;2022-06-06
Osaa määrittää ravitsemustilan;2022-06-06
Osaa diagnosoida ravitsemukseen liittyviä sairauksia;2022-06-06
Mieltää ravitsemuksen tärkeänä osana lasten ja perheiden hyvinvointia;2022-06-06
Tuntee lasten tavallisimpien niveloireiden syyt ja erotusdiagnostiikan;2022-06-06
Tietää, milloin lapsella tulee epäillä lastenreumaa tai sidekudossairautta;2022-06-06
Tuntee tavallisimpien sidekudossairauksien (SLE ja juveniili dermatomyosiitti) ja vaskuliittien (ANCA-vaskuliitit, Kawasakin tauti, IgA-vaskuliitti) oireet ja löydökset;2022-06-06
Tuntee lastenreuman alatyypit pääpiirteissään;2022-06-06
Tuntee yleisimmät lastenreuman hoidossa käytettävät lääkkeet ja pääpiirteet hoidon monitoroinnista;2022-06-06
Tuntee lastenreuman ja sidekudossairauksien hoidossa käytettävät biologiset lääkkeet pääpiirteissään sekä niiden käyttöön liittyvät rajoitukset ja erityispiirteet;2022-06-06
Tuntee lastenreuman liitännäissairaudet (uveiitti);2022-06-06
Ymmärtää lastenreumapotilaan hoidossa tarvittavan eri erikoisalojen välisen (silmätaudit, hammaslääketiede, lastenkirurgia) yhteistyön merkityksen;2022-06-06
Osaa tehdä kliinisen niveltutkimuksen eri-ikäisille lapsille;2022-06-06
Tuntee niveloireisen lapsen laboratoriotutkimusten indikaatiot ja osaa tulkita tulokset;2022-06-06
Tuntee niveloireisen lapsen kuvantamistutkimusten indikaatiot ja osaa tulkita tulokset;2022-06-06
Kykenee moniammatilliseen yhteistyöhön (kuntoutus, hoito);2022-06-06
Osaa tukea pitkäaikaissairauteen sairastunutta lasta ja perhettä;2022-06-06
Suhtautuu supportoiden ja ratkaisukeskeisesti pitkittyneistä kivuista kärsivän lapsen hoitoon;2022-06-06
Tietää lapsen näkökyvyn eri kehitysvaiheet;2022-06-06
Tuntee konjunktiviitin, selluliitin ja keratiitin erotusdiagnostiikan ja hoidon;2022-06-06
Tuntee yleisimpiin syndroomiin liittyvät silmäongelmat;2022-06-06
Osaa tutkia lapsen näöntarkkuuden eri ikävaiheissa (lähi- ja kaukonäkö, puolierot);2022-06-06
Osaa tutkia punaheijasteen ja katsoa silmänpohjiin;2022-06-06
Osaa tutkia silmien liikkeet ja tehdä peittokokeen sekä Hirschbergin testin;2022-06-06
Tunnistaa päivystyksellistä hoitoa vaativan silmäsairauden ja -vamman;2022-06-06
Tunnistaa keskushermostoperäisen silmä- ja näköongelman;2022-06-06
Tuntee keskeiset osat lastensuojelulaista ja lapsen kaltoinkohteluun liittyvistä ilmoitusvelvollisuuksista ja muusta juridiikasta;2022-06-06
Hallitsee lastensuojelun peruskäsitteet (palvelutarpeen arvio, lastensuojelun tai sosiaalihuollon asiakkuus, avohuollon tukitoimet, lapsen sijoittaminen joko avohuollon tukitoimena tai kiireellinen huostaanotto);2022-06-06
Ymmärtää sosiaalisten ja mielenterveyshaasteiden vaikutukset perheen kokonaisvaltaiseen hyvinvointiin;2022-06-06
Tietää syrjäytymisen ja lapsen kaltoinkohtelun riskitekijöistä ja niiden ylisukupolvisuudesta;2022-06-06
Tuntee Suomessa yleisimmin käytössä olevat päihteet, psyykenlääkkeet ja korvaushoidossa käytettävät lääkkeet sekä niiden vaikutukset sikiöön ja lapsen kasvuolosuhteisiin;2022-06-06
Tuntee sikiöaikaisen alkoholialtistuksen lapselle aiheuttamia kasvun, kehityksen ja terveyden pulmia (mm. FASD);2022-06-06
Ottaa vaikean aiheen puheeksi lasta ja perhettä kunnioittaen, kun epäillään kaltoinkohtelua tai päihdealtistusta tai -ongelmaa, tarttuu arkaluontoisiinkin aiheisiin;2022-06-06
Tunnistaa fyysisen, psyykkisen tai kemiallisen kaltoinkohtelun sekä lapsen laiminlyönnin;2022-06-06
Kykenee moniammatilliseen yhteistyöhön lapsen ja perheen tukemiseksi;2022-06-06
Kykenee moniammatilliseen yhteistyöhön viranomaistahojen kanssa kaltoinkohtelua epäiltäessä;2022-06-06
Osaa laatia lastensuojeluilmoituksen ja tehdä siihen liittyvät akuutit tutkimukset ja lääkärinlausunnon;2022-06-06
Osaa järjestää fyysisen väkivallan tai seksuaalirikoksen uhriksi joutuneen (tai joutuneeksi epäillyn) lapsen tai nuoren tutkimukset yhteistyössä moniammatillisen tiimin kanssa;2022-06-06
Pystyy luomaan lasta ja vanhempia arvostavan, vanhemmuutta tukevan vastaanottotilanteen;2022-06-06
Hahmottaa perheen kokonaistilanteen, ei moralisoi eikä tuomitse, ymmärtää ja suvaitsee erilaisia perhekokonaisuuksia ja -tilanteita;2022-06-06
Osaa tukea perhettä päihteettömyyteen ja erilaisiin tukitoimiin lapsen näkökulmasta;2022-06-06
Kykenee keskustelevaan ja arvostavaan yhteistyöhön eri toimijoiden kanssa;2022-06-06
Tuntee lasten tehohoidon järjestelyt Suomessa ja osaa arvioida omassa sairaanhoitopiirissään kriittisesti sairaan lapsen tarkoituksenmukaisimman hoitopaikan;2022-06-06
Tuntee lapsen tehohoitokuolleisuuteen liittyvät riskitekijät (esim. PIM2 -pistejärjestelmä);2022-06-06
Tunnistaa kriittisesti sairaan lapsen;2022-06-06
Osaa suunnitella ja toteuttaa kriittisesti sairaan lapsen alkuhoidon (ABCD, näytteenotto, lääkitykset);2022-06-06
Osaa huolehtia kriittisesti sairaan lapsen peruselintoimintojen turvaamisesta;2022-06-06
Osaa järjestää asiaankuuluvat diagnostiset ja erotusdiagnostiset tutkimukset kriittisesti sairaalle lapselle;2022-06-06
Osaa laatia tehohoidossa olevan lapsen hoito- ja tutkimussuunnitelman sekä arvioida jatkotutkimusten tarpeen, järjestyksen ja aikataulun;2022-06-06
Tietää tavallisimpien tehohoidossa käytettävien laitteiden ja kuvantamistutkimusten indikaatiot;2022-06-06
Tuntee tehohoidossa olevan potilaan voinnin monitoroinnissa (hengitys, verenkierto, nestetasapaino, tajunnantaso, kipu, sedaatio) käytettävät mittarit;2022-06-06
Ymmärtää varhaisen mobilisaation merkityksen;2022-06-06
Osaa priorisoida potilaiden hoidon tarpeen ja järjestää kullekin potilaalle optimaalisen tilan ja hoitajaresurssin;2022-06-06
Osaa reagoida potilaan tilassa tapahtuviin muutoksiin viiveettä;2022-06-06
Osaa suunnitella potilaan siirron toiselle osastolle tai toiseen yksikköön turvallisesti, ennakoida siirron aikaiset haasteet ja toimia konsulttina siirron aikana;2022-06-06
Osaa konsultoida eri alojen osaajia ja koordinoida hoitoa;2022-06-06
Osaa tulkita yleisimpien kuvantamis- ja laboratoriotutkimusten tulokset ja säätää tai muuttaa hoitoa niiden perusteella;2022-06-06
Osaa suorittaa perifeerisen laskimon kanyloinnin;2022-06-06
Osaa suorittaa perifeerisen valtimon kanyloinnin;2022-06-06
Osaa suorittaa lumbaalipunktion;2022-06-06
Osaa maskiventiloida;2022-06-06
Osaa intuboida;2022-06-06
Osaa hoitaa tavallisimmat tehohoitoa vaativat ongelmat:;2022-06-06
Osaa hoitaa hengitysvajeen (CPAP, NIV, happeutumishäiriön vaikeusasteen luokittelu (ARDS-kriteerit), keuhkoja säästävän ventilaation periaatteet);2022-06-06
Osaa hoitaa verenkierron ongelmat (hypovolemia, sepsis, vuoto, kardiomyopatia, vasoaktiivisten lääkkeiden käyttö, akuuttien rytmihäiriöiden hoito);2022-06-06
Osaa hoitaa akuutin uhkaavan munuaisvaurion (AKI);2022-06-06
Osaa hoitaa sepsispotilasta;2022-06-06
Osaa hoitaa tajunnantason häiriöitä;2022-06-06
Osaa hoitaa kouristuksia;2022-06-06
Osaa hoitaa monielinvauriopotilasta;2022-06-06
Osaa hoitaa traumapotilasta;2022-06-06
Osaa hoitaa palovammapotilasta;2022-06-06
Osaa hoitaa myrkytyspotilasta;2022-06-06
Osaa hoitaa ketoasidoosipotilasta;2022-06-06
Osaa hoitaa muut akuutit endokrinologiset ja metaboliset häiriöt;2022-06-06
Osaa hoitaa nestehoitoon ja ravitsemukseen liittyvät ongelmat;2022-06-06
Osaa kivunhoidon ja sedaation;2022-06-06
Ymmärtää hoidon rajat;2022-06-06
Osaa toimia simulaatioympäristössä, analysoida toimintaansa ja ottaa vastaan ja antaa palautetta;2022-06-06
Osaa tunnistaa ja hoitaa mahdollista elinluovuttajaa ja keskustella elinluovutuksesta perheen kanssa;2022-06-06
Tunnistaa oman osaamisensa rajat ja ymmärtää pyytää apua;2022-06-06
Osaa toteuttaa tehohoitoa lasta ja perhettä kunnioittaen;2022-06-06
Osaa toteuttaa tehohoitoa lapsen oikeuksia kunnioittaen (https://nobab.fi);2022-06-06
Osaa toteuttaa tehohoitoa lapsen ja perheen tarpeita huomioiden;2022-06-06
Osaa keskustella lapsen ja perheen kanssa yksilöllisten tarpeiden mukaan;2022-06-06
Osaa järjestää psyykkistä tukea;2022-06-06
Kuoleman kohtaaminen perheen uskonnolliset, kulttuuriset ja sosiaaliset tekijät huomioon ottaen;2022-06-06
Osaa toimia moniammatillisessa työyhteisössä muita työntekijöitä kunnioittaen ja arvostaen;2022-06-06
Osaa pitää huolta omasta jaksamisestaan;2022-06-06
